10.0.0.1 - - [15/Jan/2024:09:00:00 +0000] "GET / HTTP/1.1" 200 5432 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0"
10.0.0.1 - - [15/Jan/2024:09:00:01 +0000] "GET /css/style.css HTTP/1.1" 200 1234 "http://example.com/" "Mozilla/5.0"
10.0.0.1 - - [15/Jan/2024:09:00:02 +0000] "GET /js/app.js HTTP/1.1" 200 5678 "http://example.com/" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:00 +0000] "GET /login HTTP/1.1" 200 2000 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:01 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:02 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:03 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:04 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:05 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:06 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:07 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:08 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:09 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:10 +0000] "POST /login HTTP/1.1" 401 100 "-" "Mozilla/5.0"
192.168.1.50 - - [15/Jan/2024:10:00:11 +0000] "POST /login HTTP/1.1" 200 500 "-" "Mozilla/5.0"
192.168.1.50 - admin [15/Jan/2024:10:00:12 +0000] "GET /dashboard HTTP/1.1" 200 5000 "-" "Mozilla/5.0"
203.0.113.50 - - [15/Jan/2024:10:30:00 +0000] "GET /../../etc/passwd HTTP/1.1" 400 0 "-" "curl/7.68.0"
203.0.113.50 - - [15/Jan/2024:10:30:01 +0000] "GET /.env HTTP/1.1" 404 0 "-" "curl/7.68.0"
203.0.113.50 - - [15/Jan/2024:10:30:02 +0000] "GET /wp-login.php HTTP/1.1" 404 0 "-" "Nikto/2.1.5"
203.0.113.50 - - [15/Jan/2024:10:30:03 +0000] "GET /admin HTTP/1.1" 403 0 "-" "sqlmap/1.0"
